"","KC1","KC2","KC3","KA1","KA2","KA3"
"Mrpl9",6347063.579,6123256.855,10017332.25,17005749.4,19861794.56,20382617.78
"Mrps10",1289616.007,0,1334205.357,1361855.651,1530077.193,1761618.903
"Mrps11",13248872.86,13977849.46,18741831.03,7088345.055,12974619.5,16106419.05
"Mrps12",2781701.722,1642700.366,8085131.753,0,0,3114294.12
"Mrps14",6877237.583,6813845.18,6242432.502,6061544.112,6927328.035,5417334.585
"Mrps15",9796081.359,8686065.149,7293005.438,5047633.69,11628146.43,7102845.036
"Mrps16",9262050.403,10978033.66,7358719.908,2862846.508,7934467.828,4183539.489
"Mrps17",14584079.83,16443256.1,11584784.1,10664586.86,13885619.04,13038120.81
"Mrps18b",16971232.42,16273189.01,16420905.15,7819591.83,13259426.6,16451622.32
"Mrps18c",3531013.23,4181330.717,4555288.498,5979074.415,3878502.379,6900485.47
"Mrps2",16892168.4,17252704.47,16596017.27,5477052.432,11374082.35,9200507.547
"Mrps21",10037151.29,10241849.11,10051865.63,10647450.75,9952218.325,9628283.26
"Mrps22",103863200.9,96631018.55,97070508.53,88740075.15,89335420.25,103167218.9
"Mrps23",35367969.03,30836325.17,30516307.42,24451950.97,23618405.85,27633544.33
"Mrps25",8898711.829,9727924.71,7684425.945,5538683.027,5496514.43,5885988.303
"Mrps26",8641737.425,3193442.727,8195594.372,12699501.23,9375589.448,12705868.2
"Mrps27",35544316.26,25023937.22,34322564.15,32911717.5,23448551.6,30342453.73
"Mrps28",15471669,14221920.7,14641363.35,5765124.253,14680911.81,13882237.67
"Mrps30",13336994.32,9470359.36,19821982.53,18720829.16,23537684.86,16650022.8
"Mrps31",10387966.07,39873590.26,32801471.58,12341186.07,10298049.71,17404771.13
"Mrps33",4493995.248,23134862.05,5197630.503,19116477.31,21931508.38,21061118.71
"Mrps34",31418413.5,30401821.15,31554200.95,24577043.7,30721710.24,18760038.66
"Mrps35",31545655.98,26977833.95,24755696.44,21758554.28,30722595.77,22155075.83
"Mrps36",63258064.76,62857515.77,57723216.07,56506154.26,50783854.24,49479030.35
"Mrps5",23387398.44,21106591.08,22433131.54,23869246.8,12163566.41,19654810.39
"Mrps6",12502425.27,12070626.93,15872221.59,12599333.02,12724935.79,13695519.99
"Mrps7",23298167.73,19029686.43,16524047.72,23282287.34,19524797.41,27383586.92
"Mrps9",17147718.33,15065366.51,18601969.13,21149570.18,29098841.32,23850899.16
"Mrrf",29888272.33,28903172.04,18268646.51,19811382.62,21351226.41,15264359.75
"Mrto4",3756091.639,6545748.76,3174318.669,7941261.177,6312190.876,7693958.738
"Msh2",2035452.226,1915336.526,1426928.214,2335332.135,2320848.767,3010154.085
"Msi2",33216488.1,24520554.15,29359927.55,55950825.51,53659497.73,58527181.67
"Msmo1",0,2441995.194,0,1434277.054,1680142.817,0
"Msn",667640473.9,632124870.3,765553208,1770395392,1750822210,1812457796
"Msra",624543652.4,611172846.1,615369528.9,293107708.2,308966283.8,344790473.1
"Msrb1",3310558.307,1834552.697,4535958.061,2861681.257,861778.8854,1283506.487
"Msrb2",40629686.95,42259473.59,40119869.98,12661004.72,20294296.46,12246156.29
"Mt1",0,0,0,32086538.48,44515753.11,36202328.56
"Mt2",0,0,0,0,44419284.49,31836743.18
"Mta1",0,872387.3123,0,1963133.062,1824516.488,1804758.133
"Mta2",20060039.01,17664731.11,17850724.82,51913280.33,34778269.46,26779232.89
"Mta3",0,0,0,3018705.192,3062748.609,2915027.29
"Mtap",48080916.2,47053022.04,38105929.43,85923259.51,88534741.49,84323387.87
"Mtarc1",7024714.787,1614553.794,0,0,0,0
"Mtarc2",731791926.9,665783480.6,673806863.9,647699622.4,609158960.6,649803140.7
"Mtch1",46557482.17,51722599.59,48438335.25,58154608.28,54800337.93,56413594.44
"Mtch2",439131990,443610619.7,417952446.3,348331248.2,324157361.5,380363593.5
"Mtdh",49250256.5,55108197.52,44149167.81,56141291.08,54562968.85,54746397.61
"Mtfp1",7456231.347,8153314.012,6138073.574,0,0,0
"Mtfr1l",137786434.8,129349168.1,123968074.9,92461489.78,99798072.65,90149856
"Mthfd1",1117683167,1053942354,1044406924,1009836593,983220188.4,983215403.1
"Mthfd1l",1431244.4,1764174.984,1424420.839,7629436.196,6595650.428,6746156.416
"Mthfsl",5698392.209,4103581.998,5875407.995,9058341.79,6760475.495,7111132.02
"Mtif2",8059234.925,8500960.068,6429749.4,5397443.453,0,6015600.035
"Mtm1",2584844.709,2156791.159,1676690.288,3818570.808,2822072.161,3525171.81
"Mtmr12",1721630.15,2266042.606,3414886.642,0,8736403.239,5243097.67
"Mtmr2",3628083.158,4150341.049,3590515.614,7659584.135,4970653.217,6750949.284
"Mtor",0,0,1020181.579,6364858.106,1875013.194,2600918.579
"Mtpn",93970710.27,99073437.42,106475073.2,131658642,112993571.7,120787240.8
"Mtres1",5286437.153,4959746.095,10038853.34,5969800.562,6218956.065,6635360.752
"Mtrex",6966028.747,3432667.758,5700639.7,12187198.97,6615689.34,7942268.077
"Mtrf1l",3185310.891,3289100.964,1952104.59,4283314.675,3313737.36,3640099.883
"Mtss1",0,0,0,0,0,0
"Mttp",53036538.56,24621820.63,16608791.46,93885643.65,113958702.8,107117534.8
"Mturn",0,0,3680705.559,0,0,0
"Mtus1",0,0,0,0,0,0
