"","KC1","KC2","KC3","KA1","KA2","KA3"
"1110025L11Rik",0,0,0,16162803.75,0,0
"1110065P20Rik",17918323.11,18753049.36,15958824.73,0,0,0
"1700037H04Rik",3021159.017,2247576.235,3080843.665,4746584.885,4454360.439,3901078.069
"1810009N02Rik",0,0,0,2075270.231,0,2498912.479
"2200002D01Rik",0,0,0,3989057.181,10177638.93,5316775.807
"2210016F16Rik",25343509.14,22572911.12,23611548.44,40811200.85,52158321.97,40374480.48
"2310061I04Rik",0,0,1936850.054,0,1152629.681,0
"2810459M11Rik",0,0,0,0,0,0
"A1cf",10275666.19,10625214.23,12598307.29,0,2755280.974,1175174.703
"AA467197",0,0,0,3936364.166,3536599.586,2956188.122
"Aaas",0,0,0,836881.4187,892307.9231,905417.4037
"Aacs",194087804.5,192417987.8,193863501.4,21352467.89,29886714.62,34899881.44
"Aadac",317227110.3,305395382.7,283189374.6,125745456.2,157939787.8,133344064.3
"Aadat",716165660,907808111.2,919489256.7,69017591.32,65515730.16,75483241.52
"Aak1",6860108.552,2685115.369,3441684.615,9208426.363,5968591.545,11611208.51
"Aamdc",7854119.384,6012855.197,8201743.141,11672668.23,10014183.94,10726828.19
"Aars",142656712.6,131620315.1,148202251.2,185247630,191345645.2,196507085.4
"Aarsd1",47225453.12,37839917.33,42550725.35,50876509.57,46281996.89,65712973.56
"Aass",1498422439,1353505612,1461165815,674020616.7,596112147,591916144.2
"Abat",800635903.4,793519729.3,879450730.8,476977905.9,426258186.1,421331766.5
"Abca6",27509797.35,9008813.615,11655281.02,12496155.91,11570400.13,30707571.7
"Abcb10",0,2085024.841,0,4026909.477,4096479.697,4686393.355
"Abcb11",204545297.1,206246604,199557891.7,72924808.79,72058142.05,73454974.97
"Abcb1b",1672680.266,0,0,7561517.968,7667098.308,6750875.822
"Abcb4",4519255.891,1971130.166,0,6107020.42,2166483.804,2186957.208
"Abcb7",51544040.1,52980376.93,49684330.9,47666650.17,54324005.39,55677194.82
"Abcb8",45107355.59,42649245.97,32531435.66,35748736.81,34445009.38,19071992.66
"Abcc1",0,424600.9392,0,3504592.242,3130612.038,3000581.901
"Abcc2",60419996.91,67518581.04,72166032.49,65781360.41,51377857.39,54264470.89
"Abcc3",91321086.5,45841240.94,84977157.58,67606623.54,80559236.32,63177703.12
"Abcc4",5225393.475,5932818.982,4712593.631,23316460.19,24606996.51,27667992.03
"Abcc6",1700710.144,0,4059386.007,13309788.45,13847304.26,12574092.13
"Abcd1",0,0,0,0,0,2116315.318
"Abcd2",0,4724808.387,2992632.259,0,3008735.671,0
"Abcd3",520872849.6,669609049.7,583781977.3,185684350.1,256090217,258011499.2
"Abce1",37075256.41,25862319.02,25406550.1,67758156.3,70440756.79,65123622.18
"Abcf1",14383594.81,23870946.95,15693265.61,27345350.72,30188939.92,29154214.25
"Abcf2",24927190.92,30538532.58,22624938.91,24533137.82,23886758.64,19903898.67
"Abcf3",7162068.978,9902026.399,9225572.564,16343613.84,12955126.85,11784298.54
"Abcg2",285162631.8,257983989.1,284599871.5,144680485,155179864.8,174863075.9
"Abhd10",6609845.71,3514575.006,8065758.907,13611487.06,10040292.09,5761171.338
"Abhd11",57040519.9,54559842.3,69332747.94,59023096.19,47411300.58,69782531.43
"Abhd12",1963324.964,742947.1554,2355619.974,5771738.116,5663628.774,7045852.453
"Abhd14b",725599891.3,761728857.8,792009783.8,318253784.7,300632007.4,323148540.6
"Abhd16a",24932080.08,29981615.95,32963856.87,27517410.78,34972460.3,25512217.03
"Abhd3",2213692.347,2255936.068,1935451.292,0,0,0
"Abhd6",0,0,0,4490555.334,2648551.442,2767927.372
"Abi1",20501206.2,16502292.46,22243362.12,39271435.2,31887861.02,29555275.75
"Ablim1",15217429.84,10070289.76,11741552.32,37023760.92,31625391.32,34463555.86
"Abr",2543218.974,2177695.834,2079009.05,3615307.765,3295650.773,3807948.926
"Abraxas2",27705375.43,30317615.2,33184383.3,16960041.77,18545292.29,17800599.12
"Acaa1a",145278142.6,138413351.5,147275906.2,127922196.3,130850545.9,121624720.1
"Acaa1b",134043043.6,148858703.3,110766515.4,25082869.91,32918201.98,33768343.8
"Acaa2",1819163833,1808080771,1739767179,1699325577,1781064176,1888732146
"Acaca",67587641.48,42863925.4,42295186.73,48415115.65,97492600.52,51890225.35
"Acacb",0,0,0,1344095.419,0,0
"Acad10",153245921,156753290.8,169512817,59202454.5,57221951.59,72039738.64
"Acad11",462184314.8,482956397,419644611.4,95462334.71,97044396.17,126895959.6
"Acad12",36603225.27,39828212.3,38120191.18,14308222.45,17152359.54,13339084.94
"Acad8",363895895.1,363690160.7,344389345.3,273573530.3,273239087.5,262126371
"Acad9",390623762.9,374005168.8,392878300.9,132987921.8,161077941.9,128116397.7
"Acadl",1557284046,1746361108,1667015713,888215787.9,964749872.2,930238208
"Acadm",3332683286,3858706488,3912603814,959767168.5,1016599934,1037619319
"Acads",1351512452,1264445298,1252095786,484486386.6,515354837.6,488507950.2
"Acadsb",188257786.6,194507503.5,184327017.4,207194517.4,236561881.2,216847428.5
"Acadvl",947283195.5,943747786,1004623340,859721244.9,937703794.4,875360958.9
"Acat1",4298859426,4401408335,4856576432,1696333155,1687759695,1592279669
"Acat2",121519435.4,116300595.5,113701297.6,86580120.05,84778766.47,89814433.02
"Acat3",4897235.582,7406742.774,0,6048811.751,3767534.319,8686719.291
"Acbd3",13048411.5,11041482.37,12369093.71,18834431.27,14887793.01,18183886.56
"Acbd5",55355607.32,57704785.46,69745374.24,9837956.983,38095062.94,22577848.29
"Ace",98410278.94,129295030.5,124111773.5,2998336.448,2458919.183,2349353.114
"Ace2",7100702.438,8346988.098,10198640.83,2670341.75,2794563.785,2441344.868
"Acin1",15513812.55,12978270.55,13073353.1,38029291.65,36585245.5,32523653.7
"Acly",332148329.9,337755161.8,321952298.5,215180219.9,356339193.6,251888265.2
"Acmsd",116634478.2,109464277.4,89768598.36,12423428.3,15632133.71,22348119.56
"Acnat2",967998.7753,0,963685.5731,0,0,838058.3008
"aco1",1270231301,1119564831,1234674256,859072397.2,845119854.5,920618268
"Aco2",4957494911,4637003298,4990606355,4192746828,4269963541,4390963531
"Acot1",28191496.57,30872890.33,31512143.36,18623844.37,18557917.24,24694500.9
"Acot11",21629558.54,23910709.23,20863853.98,18596226.47,19286102.42,22273872.23
"Acot12",195940630.6,216489793.7,218913900.5,2882366.189,1470419.286,4720771.963
"Acot13",416927212.4,429187046.4,421764645.9,227699929,213358187.8,219998368.6
"Acot2",43539610.28,46103629.24,53196094.08,30929500.4,33677479.68,36680720.64
"Acot3",0,0,0,0,0,0
"Acot4",88176886.51,89546892.47,93311410.52,20890878.44,15793729.82,28921780.42
"Acot7",5592116.925,9234817.09,7069520.189,38846160.68,40628596.75,46401249.22
"Acot8",23465787.72,26863427.63,23823466.93,2843227.262,2015467.686,6312171.608
"Acot9",214063457.5,192372841.7,222540544.7,220896821.3,271351613.5,230433503
"Acox1",728699806.4,775899751.6,723474039.3,50739523.83,63070169.45,76393754.44
"Acox2",229290687.8,301172110.7,385411503.8,69833521.77,72246297.07,38544373.25
"Acox3",754745804.5,737012205.5,737630179.4,55424645.32,46098228.7,58044830.77
"Acp1",3980030.099,2141186.921,2571968.551,10898415.72,12111224.15,5164801.326
"Acp2",5935542.266,5575962.46,5773893.169,14297919.16,11456177.26,14536290.68
"Acp5",0,0,1071346.042,55277369.06,36304331.26,26199027.23
"Acp6",102380524.4,91154597.96,87361211.48,72728819.72,54477974.76,67007995.16
"Acsf2",22026780.54,23646131.06,26300629.46,192548302.3,177594119.5,171383072
"Acsf3",254845940.8,111250470.1,240577745.3,43224196.42,51474458.52,57395150.89
"Acsl1",496789210.1,554084595.2,509231821.7,332683093.1,431047110.7,361294136.7
"Acsl3",68474191.56,73225560.67,81412452.1,31428378.2,36262312.64,11738765.85
"Acsl4",28049220.01,27548703.61,25526131.38,60054120.11,59296200.3,61699191.09
"Acsl5",8050215.437,5269045.658,7757899.143,30551778.49,26020938.45,30975324.32
"Acsm1",544088284.2,470548993.6,452277155.5,173845765.4,192667797.7,184168980.7
"Acsm2",18741437936,17097204163,17357991806,3280420573,3536433791,3790557336
"Acsm3",1452479287,1544569187,1492361181,9483984.84,8015595.796,6346180.248
"Acsm5",130785993,124726501.8,128794234.8,15558807.49,9413048.533,11468339.98
"Acss1",724950306.5,661282671.5,647736846.6,936180696.2,836221968.1,953636214.1
"Acss2",148174549,111405844.2,147073868.6,38380066.74,35123098.82,53597843.61
"Acss3",17985524.48,10491358.2,18667035.55,23190663.91,21783763.65,20511423.08
"Acta1",0,0,0,0,0,0
"Acta2",51136803.07,60244606.92,51459910.53,106528451.7,92187296.85,92461249.7
"Actbl2",59080314.44,63863398.2,53945459.12,36118071.71,28987591.1,33642912.79
"Actg1",5323183087,5096462967,5112794196,9701941946,9236837391,9487580870
"Actl6a",3737080.866,0,6865511.298,31261898.97,28146980.21,25417022.09
"Actn1",2753648.935,3817388.196,2597923.306,29267848.32,23872379.29,26371725.51
"Actn2",0,0,0,0,0,0
"Actn4",1585261344,1666085656,1601956265,2916073965,2763886306,2684719311
"Actr10",2102748.675,1879679.344,4411730.349,6486512.953,7878312.326,6384202.873
"Actr1a",23785670.43,25468282.67,23732647.69,42306562.98,38861503.69,40181400.14
"Actr1b",14727675.65,12977150.74,12493476.72,21385093.51,15306860.88,21106655.83
"Actr2",273578670.9,277656294.5,277933651.7,665386347.9,620122623.4,637653550.3
"Actr3",347794737.4,334182596.1,323913811.8,755573060.7,708291347.6,786092915.1
"Acy1",386436341.1,356603922.6,423975103.7,40999404.29,35002859.58,38741854.96
"Acy3",4696557579,4752592035,4420706994,164253924.2,141437113.2,141018072.8
"Acyp1",30094985.39,35235955.09,32782259.71,39407182.14,41995907.08,42146095.74
"Acyp2",36843914.77,38808130.61,40543506.32,25225563.92,22534193.55,27533568.82
"Ada",1996181.836,1658439.352,0,1906545.502,1578788.002,4751489.838
"Adam10",67818422.38,66486894.13,77058230.74,57330033.69,68437460.53,72066113.79
"Adam17",0,0,0,2656979.941,2478695.907,2438951.03
"Adck1",4164761.55,3312907.098,0,4672186.546,5470311.039,6264112.281
"Add1",128035830.6,117701264.9,125940280,101158388.5,113583566.3,106086835.2
"Add3",103049887.8,84096388.38,84112790.84,76928615.9,82812197.59,71843550.49
"Adgre5",3941706.766,3543834.343,3349766.411,3448848.491,4768536.388,3280634.412
"Adgrg1",0,0,0,4252730.565,3940265.98,4288341.693
"Adh1",2312305336,1989708986,2240693392,360040110.3,384137214.3,394256977.5
"Adh4",15007990.62,19586803.37,16124081.94,0,0,0
"Adh5",467999670.2,445959987.6,452368854.6,468765109.2,434131579.4,423288497.5
"Adhfe1",261580005.9,240932259.9,241568189,72206537.14,46920823.23,64976207.77
"Adi1",4760095.589,7138263.889,5348564.206,20363455.59,15284934.23,22146625.07
"Adia",906793.3608,1863209.431,1161687.381,22062901.83,26495010.52,23238633.3
"Adib",0,0,0,32288223.44,6905654.164,15034885.98
"Adid",0,1252000.348,0,1723634.908,2057992.828,2280577.024
"Adk",212637783.3,173992344.9,213150643.3,217306060.8,178299198.7,171002155.8
"Adnp",0,3954067.353,0,3123618.471,3202760.339,0
"Ado",1349718.279,0,1079305.802,10647924.83,8126799.543,10051849.87
"Adpgk",3475719.549,1495627.316,3371421.952,4197152.623,7530341.966,6538589.937
"Adprh",9814490.085,5932321.591,7164692.053,46225466.21,39592725.53,40235513.53
"Adprs",6296599.413,5023377.656,11793567.62,24123486.18,22086966.38,15183394.08
"Adra2b",887890.1075,0,0,0,0,0
"Adrm1",19253686.02,21449306.47,23381463.23,46064981.11,46283252.77,48963762.29
"Adsl",59545861.35,53996672.22,62056224.99,80327864.95,72841809.08,85941683.04
"Adss",223246917.3,200047975.6,238880418.2,189952507,187872788.4,181214491
"Adss1",5881628.545,3618095.763,9176245.736,4668915.131,3285283.483,2335867.007
"Adtrp",3995830.562,3234016.472,3297298.491,4238409.42,3364245.332,4110186.99
"Aebp1",0,0,0,813191.4436,1140091.919,1060356
"Afap1",0,0,0,2100924.372,2456255.061,2303759.757
"Afdn",0,0,0,5565895.093,5101813.621,6313856.477
"Afg1l",38370487.94,31322819.03,36368076.91,35619921.39,31241040.01,28561633.85
"Afg3l2",96740468.03,107420346.5,106200137.4,118840470.3,124438211.8,128561813.3
"Afm",5418829.721,6760196.377,7219536.67,9004457.186,18013824.83,8473695.686
"Afmid",26139373.88,21208142.49,23648707.49,9170371.28,7769696.017,6734086.789
"Aftph",3576229.105,3127735.74,4041894.246,4770613.528,4120115.878,5274837.295
"Aga",3395631.347,2859262.183,3517666.101,5386817.323,4492524.089,5755456.02
"Agfg1",9191466.671,8045663.241,8405694.314,14011829.46,8589682.555,11061508.83
"Agfg2",13663334.76,12080649.48,10934339.02,13012350.73,14049317.26,12291627.29
"Agk",46210807.57,44246156.29,46838121.93,86802624.3,75421230.2,84936553.76
"Agl",23001896.71,39272322.1,16627054.26,69469806.15,50109539.57,63212889.81
"Agmat",0,0,0,0,0,0
"Agmo",0,0,0,0,0,0
"Ago1",0,0,0,1470091.491,1198707.605,953729.8565
"Ago2",1502952.504,3198128.652,1563525.645,14903648.6,13202792.3,7016886.766
"Agpat1",47591118.33,45774482.61,38685981.17,18414191.8,18550272.32,15356752.5
"Agpat2",0,1437044.401,1342044.081,924005.4011,7197776.147,1972090.538
"Agpat3",42694669.29,45364090.1,51335338.34,20535885.58,26350685.24,18428789.94
"Agpat5",0,0,0,2461074.938,2798970.533,0
"Agps",392630437.3,390640319.2,403220372.9,28920208.44,38532086.94,20329356.48
"Agrn",240903922,239654261.9,234953891.8,593854367.8,604116941.9,545696872.3
"Agt",2745963.436,11843924.33,953231.2055,13528333.77,14843211.79,14686771.1
"Agtrap",13050464.45,11901972.96,10380160.21,16113115.12,13313214.48,12083809.78
"Agxt",1901094.373,1899374.11,2783368.255,3489602.474,2254009.891,4308714.01
"Agxt2",485568824.6,430581275.7,410238455,159857370.8,157441490.8,163032882.4
"Ahctf1",8555035.711,9612871.284,9605951.239,5302859.803,4875042.651,5381946.955
"Ahcy",1767138743,1672356578,1828533895,852655861.8,778383523.1,869400051.6
"Ahcyl1",50244766.28,35917759.28,39358938.04,49530021.53,50819628.5,53049730.99
"Ahcyl2",55473516.15,57076369.19,49836995.33,37954120.33,38797607.77,42065327.29
"Ahnak",265185363.9,312818972,348485726.1,2594916801,2390434661,2260611272
"Ahnak2",0,0,0,51228528.66,57761127.08,54505431.65
"Ahsa1",58184529.29,66668004.89,50243162.91,65463549.55,64704658.38,54724283.87
"Ahsa2",0,1007846.533,0,0,0,0
"Ahsg",154341210.4,191661302.5,164782159.6,175663012.9,295429483.9,253040304.3
"Aif1",0,0,0,15119528.61,15164936,17660974.81
"Aif1l",45271683.71,40420033.32,53727615.7,126748289.6,127330700.1,95399179.8
"Aifm1",803616781.9,782782570.8,804382355.6,484075046.4,474775071.3,473554717.9
"Aifm2",2937856.229,1708667.447,2527952.877,0,0,1652827.983
"Aimp1",39462896.88,35215531.28,44336377.09,61893316.64,61008845.67,64567394.41
"Aimp2",14204623.58,6617180.403,21547610.35,25772193.46,16817252.62,17410333.44
"Aip",5735370.785,3972700.747,18865739.54,34449008.98,27948123.51,33518656.92
"Ak1",22098619.07,15721806.35,20725667.86,63297144.63,65353049.8,62714840.34
"AK157302",3187008.292,2551791.584,2633359.575,10761040.36,9591601.384,9235480.626
"Ak2",401270695.1,387513546.1,368043637.7,173642823.1,167113886.4,170191716.9
"Ak3",687021936.7,736605187.3,763235680.2,609838155.6,615691294,610244655.6
"Ak4",854247083,784528256.2,792974552.5,103742073.6,95045726.85,119121150.5
"Akap1",2009442.765,6678377.812,2859860.319,3036884.701,0,1980790.807
"Akap12",5258530.525,18727414.42,13272245.48,238203384.3,233847656.9,231433255.4
"Akap2",60093480.53,64737918.67,56617283.23,97200626.77,94327317.63,79349201.62
"Akap8",0,3667900.344,3780025.895,11516538.05,14894275.5,8972984.316
"Akr1a1",4868634399,4948460268,4663472993,2954132464,2724454929,2850594776
"Akr1b10",37607393.48,56683270.43,47480683.86,57100333.22,63807789.83,66166524.95
"Akr1b3",451863051,425850654.5,541927622.4,660535056.4,698144765,634362014.4
"Akr1b7",8861398.171,2703881.396,3437294.396,21389270.59,17635394.25,12548875.65
"Akr1b8",0,0,0,52713674.1,55331159.13,48512991.55
"Akr1c12",0,0,0,5020976.582,5141520.951,3578091.64
"Akr1c13",1278757.694,1320741.427,7624041.52,16568580.01,12581382.74,14838927.71
"Akr1c14",328751313.5,328966922.1,365729851.3,6407480.746,4096386.113,1488355.264
"Akr1c18",1702928.343,3474814.133,3465898.083,0,0,0
"Akr1c19",33615106.48,36148938.79,41734523.8,91599628.63,67541539.34,70653804.03
"Akr1c20",1492386.586,2293886.31,2032423.984,7995173.847,6691229.82,5503669.41
"Akr1c21",2000077776,2089688116,2085413362,600433554.6,523799752.7,642356054.2
"Akr1c6",1013051.463,0,3068109.989,5083357.806,4278959.664,2111338.543
"Akr1d1",0,0,0,0,0,2158809.732
"Akr1e2",33842927.09,40117182.21,41492193.69,38907235.92,60123454.99,50724882.54
"Akr7a2",1186356420,1216814714,1137358572,432344289.4,433813383,475990250.5
"Akt1",0,0,0,1951600.936,2223521.884,1908955.545
"Akt1s1",0,0,0,2188682.791,2784287.262,2555996.003
"Akt2",0,868505.1722,0,1106996.206,1022071.296,1384507.429
"Aktip",1782478.643,1770894.657,1351550.219,2709917.978,2818886.544,2501870.198
"Alad",169079764.7,166862951.5,147863860.9,135752132,130621610,144873225.2
"Alb",19656170947,23442975871,23886211464,23895511612,35362968853,25133589921
"Alcam",4077337.364,1685649.273,3494853.871,16488932.45,14292011,14912201.43
"Aldh16a1",52743357.23,97173408.35,56814559.83,67048974.07,158701120.4,58058301.49
"Aldh18a1",0,0,0,10134702.61,4824997.348,8728936.768
"Aldh1a1",7873759.695,14855919.28,18471596.3,130579040.7,149604498.7,177038821.4
"Aldh1a2",1745304.882,6278174.251,7092698.004,43783095.41,35690646.38,41123885.35
"Aldh1a7",1265507.838,3727141.641,6068395.9,20150966.65,23432133.13,27679162.9
"Aldh1b1",20996151.26,11920444.66,10919283.3,25879731.35,22158952.16,23130505.69
"Aldh1l1",2023167684,1910110355,1974746666,1675076155,1571108481,1543433128
"Aldh1l2",0,0,0,7384090.771,0,6075356.298
"Aldh2",2788334573,2694084316,2892245262,2657472011,2701845107,2657123175
"Aldh3a2",401221251.2,366329229.3,375410574.6,136641914.6,149673287.2,146816204
"Aldh3b1",0,0,0,1884919.058,1182960.734,1572938.788
"Aldh4a1",2366795777,2217534295,2124995279,1119986076,1130296982,1167607607
"Aldh5a1",471128523.2,469129335.7,487939401.7,248769174,285128850.7,255435757.8
"Aldh6a1",6469271717,6088635179,6122334255,2454151954,2414469178,2422643480
"Aldh7a1",901880655,872450750,908808803.7,631753376.2,668004915,694692009.4
"Aldh8a1",761337490.2,792928931,825605299.4,185396916.3,182646168.8,168615063
"Aldh9a1",1648605940,1526107376,1451361157,785899550.5,798966969.9,824547812.7
"Aldoa",477683724.8,515751142.7,460844887.7,819147737.8,805927257.1,808905385.6
"Aldoart1",0,0,1402222.783,2268280.197,1591450.585,8735384.93
"Aldob",8765916649,8435192554,8699828288,4322843382,4022158404,4731540242
"Aldoc",2062810.107,3753088.851,3228851.64,28801774.06,27896212.43,21395274.22
"Alg1",0,0,0,2528417.391,0,3936736.114
"Alg2",3457582.677,4672002.696,2870762.614,4993118.973,4538078.15,5135526.847
"Alg3",0,0,0,0,0,1699670.189
"Alg5",10039412.03,8612494.467,9571277.931,5599742.969,7422053.263,7919110.677
"Alkbh3",1697543.057,1886294.666,1449064.645,9607417.427,8962173.723,9008119.771
"Alox5ap",0,0,0,8836883.475,6605779.726,7230956.124
"Alpl",178561245,173599680.3,143960435,192136953.4,176679954.9,183749969.3
"Als2",3981318.499,0,3103198.847,0,3006636.378,3670789.639
"Alyref",32876470.55,32021780.35,36950695.43,129955726.3,121088407.4,105390981.5
"Amacr",1044733426,1206424318,1035359944,64220837.34,56789219.89,69569980.95
"Ambp",37389138.12,35731785.39,30426947.15,57945923.82,53767816.26,61889065.21
"Amdhd1",28218119.23,28284685.57,32028458.65,25560012.19,11533822.35,12715962.85
"Amdhd2",52745440.87,58704322.22,56709308.53,60453633.01,52033006.19,56423842.35
"Amfr",1748193.702,2386364.034,2038543.7,3002522.837,0,2922206.27
"Amn",24254724.4,23393774.8,17883427.54,18177779.57,11604491.55,22526671.85
"Ampd2",1482023.183,2484403.073,2487783.018,10770309.42,10705722.14,6387831.753
"Ampd3",0,0,538164.6642,5852565.953,7970621.8,7725412.369
"Amt",61180216.75,54520945.69,68049999.74,72283481.2,62332300.26,72053048
"Amy2",0,0,0,0,0,0
"Ang",3237377.157,4701096.576,0,0,0,8224122.046
"Ank1",5988556.2,9861715.568,8803821.22,0,1961732.171,0
"Ank2",4616756.584,5034651.327,5198030.224,985925.1144,911900.2327,2235869.577
"Ank3",0,2376391.618,4216708.533,0,4398271.765,0
"Ankfy1",42154269.71,43868956.18,36237275.04,76276557.83,73637963.18,79131505.53
"Ankmy2",958207.8669,1470009.923,2069919.31,2771999.509,2136456.29,2924255.851
"Ankrd13a",0,0,0,1328975.758,1085804.888,884526.8655
"Ankrd17",2730158.391,0,3523181.935,4199155.099,4827599.125,6658831.759
"Ankrd28",1344602.097,1129912.943,1201474.327,1779597.542,1172095.954,1616107.91
"Ankrd44",0,0,0,0,0,2547492.94
"Anks1",0,0,0,0,3322400.559,2298209.094
"Anks4b",8162857.961,5346474.429,7523136.502,3925854.561,2940097.329,3552382.459
"Ano10",2593488.184,0,1691722.553,5649028.823,5011158.439,4024751.185
"Ano6",10430056.48,9878981.432,10493858.77,19492004.4,16068828.95,20668640.25
"Anp32a",162233972.9,146303402.9,150038589.2,279843395.6,254895732.9,241669634.7
"Anp32b",13431332.66,11948558.95,12986206.01,70030887.06,63462289.64,63023153.43
"Anp32e",15009770.04,12222622.97,11419212.64,76739667.62,56592814.79,70814948.94
"Anpep",1489385380,1303830514,1298070603,1317057323,1180267830,1307664682
"Anxa1",35476847.15,28437280.14,38118881.15,233380475,244214673,251991402.4
"Anxa11",137359862.3,124647783.8,132278372,213437130.1,201407000.6,208693109
"Anxa13",25761394.11,26541041.73,27969147.62,0,0,918434.5598
"Anxa2",298118503.9,357015393.6,361905362.7,1795209792,1750175101,1805853537
"Anxa3",42899465.86,42123617.02,44722792.22,444327689.3,402342327.2,425526794.6
"Anxa4",117733114.1,122737182.9,148259331.1,434432524.3,414968372.4,427093323.3
"Anxa5",550868221.4,601450283,627618756.4,1527543217,1510787832,1530662872
"Anxa6",3762531.196,3810108.381,3113492.31,10199673.59,9525040.827,9032404.175
"Anxa7",140854160.8,134197777.5,133552298.6,271553566.3,271309153.9,272105237.7
"Aoc3",1279701.619,2488817.466,5312501.386,7517539.26,19130194.03,5885846.003
"Aox1",38244098.59,34644196.9,40004559.25,49648969.17,40146031.11,48360668
"Aox3",17637261,27320141.6,23489768.1,28188737.39,28508691.03,26071420.91
"Ap1b1",230551521.6,202546458.7,206696387.2,214502426.7,214514527.5,214813767.3
"Ap1g1",173666205.3,153464039.6,174796033.5,199604363.9,215898742.7,228002768.8
"Ap1m1",84729946.8,75225761.68,66446716.72,76617221.57,61883750.64,84096336.95
"Ap1m2",0,0,1477867.476,11850094.16,10636669.65,8091898.497
"Ap1s1",22182941.15,21717421.54,21783706.35,29931894.98,27389481.75,32709274.39
"Ap1s3",0,1070174.568,0,1448588.756,0,1369318.087
"Ap2a1",43669950.51,32443480.7,28822402.56,97228375.17,89425511.88,101672848.4
"Ap2a2",243148179,245115485.7,233359348.2,290469677.1,266839316.2,271064454.3
"Ap2b1",92662664.31,90135377.32,89928821.34,222933519.7,208479997.4,203818839
"Ap2m1",504622825.7,518164332.1,507875199.4,391194767,356713406.9,388708654.3
"Ap2s1",41195717.6,37424919.9,35861378.63,35388533.7,36521100.7,38629696.71
"Ap3b1",64193008.65,64533433.13,64059077.65,112543310,105422825.7,120117227.5
"Ap3d1",39623691.37,57720363.69,47275933.64,41468180.7,48984453.47,59504760.8
"Ap3m1",23582702.38,19133131.19,19966374.39,45007820.86,43692495.76,40133268.55
"Ap3s1",41829941.51,59006907.91,61560165.18,57033019.77,57226019.98,64159277.8
"Apbb1ip",33301206.97,26462260.94,30357168.5,13868477.14,15400433.66,16968301.48
"Apcs",0,0,0,0,0,0
"Apeh",390326611,345888684.5,366762704,154693149.8,154382564.2,150408919.5
"Apex1",26094486.75,22705202.99,23481511.48,83620428.83,72841496.33,85863682.7
"Api5",28697807.53,27427350.11,28513267.87,72063267.55,73334274.73,46872496.01
"Apip",12221750.48,13448451.97,19107770.83,55921230.4,53589930.08,52022809.05
"Apmap",70770355.48,96667849.92,58782580.52,69347017.31,75849845.5,67647591.42
"Apoa1",1143655908,1432924991,1452768540,951737442.1,1627703583,1011993519
"Apoa2",153148145.6,143816401.6,151021953.6,109717246.3,132160276.1,147047858.8
"Apoa4",148271238,135517503.1,126401776.2,156466281,285554229,214846858
"Apoa5",809223.0244,1288214.54,1439106.02,3236335.206,3230741.69,2964597.711
"Apob",55503325.14,49452545.82,52457642.86,57776139.86,46984828.61,50518421.97
"Apoc1",16326792.87,13781561.74,13379585.12,22790638.15,23725536.86,21007238.11
"Apoc3",19168529.59,21315381.03,26502010.66,8050293.67,15554672.27,9641722.694
"Apoe",267528515.1,268134109.6,252507933.8,330377494.4,327161301.5,313535687
"Apoh",41344912.83,52445326.94,42600242.39,96032745.88,114532932,95759350
"Apol9b",0,0,0,0,0,0
"Apom",9862621.966,6544147.144,7240948.183,1657929.393,1972379.507,0
"Apoo",151177028.9,148743302.8,103624282.9,86147506.71,84417841.51,102788196.1
"Apool",127588870.7,138961935.3,133891431.9,91527300.74,98405232.45,269986504.5
"App",34734554.41,23098471.43,22957420.79,28348073.81,27922093.46,31779313.37
"Appl1",6585684.087,12322283.44,9284419.471,23045851.9,25419181.69,18795406.91
"Appl2",3226594.596,3227650.277,3668126.6,6456316.994,4769886.181,1871136.839
"Aprt",57799713.72,49517997.81,42033211.03,124958894.2,117353832.3,122685749.2
"Aqp1",197159145.5,220748258,249745496.9,53836028.27,72000624.78,42025938.78
"Aqp2",7790577.103,8596230.671,9898252.182,15705888.15,17610417.04,17910625.97
"Aqp3",3680781.635,3395674.38,3194514.473,0,0,0
"Aqp9",0,0,0,0,0,0
"Araf",3931624.074,6371233.897,7032615.194,13916672.5,9669675.149,8951516.534
"Arcn1",184793088.7,153039876.6,179736879,242341999.7,231489064.1,246382641.7
"Arf3",408666237.1,380439834.3,406970758.3,618773848.1,551660302.6,572277652.4
"Arf4",57987078.02,53553979.77,64510304.95,95308481.3,73134440.72,81695543.06
"Arf5",48561361.11,52018134.54,55053169.47,97964038.99,88949793.84,97964106.97
"Arf6",48253745.84,41374142.29,44255685.59,123280808.5,117580171.8,113871324
"Arfgap1",2308706.807,1238419.83,5617788.567,7655512.741,8466430.599,7937017.721
"Arfgap2",20951321.78,21749176.21,15464009.55,43608540.84,36049917.56,47436180.14
"Arfgap3",0,2247104.149,1046227.731,2112021.79,1751426.207,3205916.539
"Arfgef1",8812064.485,9673327.738,11960142.68,11033109.07,14423181.97,13912072.1
"Arfgef2",2592264.158,6029090.242,3245422.661,11315278.35,12353053.75,9389511.907
"Arfip1",29130405.85,30965126.29,24203233.25,63980057.67,59245925.84,61596261.65
"Arfip2",4733271.257,3314055.586,3165237.137,3596506.523,2981362.933,2767966.13
"Arg1",1046555.819,0,28490.37589,9926931.267,5511210.567,7200265.228
"Arg2",0,0,1052108.891,4551024.403,4909051.499,4235671.949
"Arhgap1",134821381.1,123832858.4,116832091,209021872.6,211420185.5,217063727
